0,47,1
0,50,1
0,54,1
0,66,2
1,64,2
2,64,2
3,66,2
4,66,2
5,64,2
6,64,2
7,66,2
8,47,1
8,50,1
8,54,1
8,66,2
9,64,2
10,64,2
11,66,2
12,66,2
13,67,2
14,67,2
15,66,2
16,50,1
16,54,1
16,57,1
16,66,2
17,64,2
18,64,2
19,66,2
20,66,2
21,64,2
22,64,2
23,66,2
24,66,2
25,64,2
26,64,2
27,66,2
28,52,1
28,52,1
28,61,1
28,66,2
29,67,2
30,67,2
31,66,2
32,47,1
32,50,1
32,59,1
32,66,2
33,64,2
34,64,2
35,66,2
36,66,2
37,64,2
38,64,2
39,66,2
39,47,1
39,50,1
39,55,1
40,66,2
41,64,2
42,64,2
43,66,2
44,66,2
45,69,2
46,69,2
47,66,2
48,50,1
48,54,1
48,57,1
48,66,2
49,64,2
52,64,2
53,66,2
54,66,2
55,69,2
56,69,2
57,66,2
58,66,2
59,64,2
60,64,2
61,66,2
62,52,1
62,57,1
62,61,1
62,66,2
